entity_class	table_name	owner_module	category	mutability	actor_policy	timestamp_policy	retention	compliance	note
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityPrincipalEntity	git_security_principal	security	mutable_configuration	mutable	stable_principal_create_update	created_updated	current_configuration	migration_required	Missing created_by_principal_id and updated_by_principal_id actor evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityGroupEntity	git_security_group	security	mutable_configuration	mutable	stable_principal_create_update	created_updated	current_configuration	migration_required	Missing created_by_principal_id and updated_by_principal_id actor evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityGroupMembershipEntity	git_security_group_member	security	relationship	replace_delete	stable_principal_create_and_removal_audit	created_only_plus_audit	current_relationship	migration_required	Legacy created_by naming and removal provenance require migration and append-only management audit.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityRepositoryGrantEntity	git_security_repository_grant	security	mutable_configuration	mutable	stable_principal_create_update	created_updated	current_configuration	migration_required	Legacy created_by naming and missing updated_at and updated_by_principal_id evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityRefRuleEntity	git_security_ref_rule	security	mutable_configuration	mutable	stable_principal_create_update	created_updated	current_configuration	migration_required	Legacy created_by naming and missing updated_at and updated_by_principal_id evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityManagedPolicyEntity	git_security_managed_policy	security	mutable_configuration	mutable	stable_principal_create_update	created_updated	current_configuration	compliant	Carries stable creator and modifier principal IDs plus operation and correlation evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityVersionEntity	git_security_version	security	technical_policy_state	technical	none_technical	generation_only	technical_generation	technical_exempt	Monotonic invalidation state is not a human business edit.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityAccessAuditEntity	git_security_access_audit	security	append_only_audit	append_only	event_actor_fields	occurred_at	security_audit	compliant	Immutable bounded repository authorization decision evidence.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityLocalCredentialEntity	git_security_local_credential	security	credential_lifecycle	mutable	specialized_lifecycle_and_audit	specialized_lifecycle	credential_lifecycle	compliant	Password rotation lockout and verifier upgrades use purpose-specific timestamps with identity audit.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityAccessTokenEntity	git_security_access_token	security	credential_lifecycle	mutable	specialized_lifecycle_and_audit	specialized_lifecycle	credential_lifecycle	migration_required	Legacy issued_by naming and missing revoked_by_principal_id and revocation reason fields.
io.github.carstenartur.jgit.storage.hibernate.security.entity.SecurityIdentityAuditEntity	git_security_identity_audit	security	append_only_audit	append_only	event_actor_fields	occurred_at	security_audit	compliant	Immutable bounded authentication credential and management event evidence.
